section;name;description;price;brand;image;style;gender
tablasdesurf;Pukas Mustache;La Pukas Mustache de Pukas Surf es la tabla ideal para riders de nivel intermedio a avanzado que buscan versatilidad y rendimiento. Su diseño moderno twin/2+1 ofrece maniobrabilidad y velocidad en olas de 2 a 5 pies. El contorno ancho en la nariz y su especial cola 'Mustache swallow' facilitan el remado y las maniobras precisas.;750,00;Puskas;https://www.singlequiver.com/40508-large_default/pukas-mustache.jpg;Short Boards;
tablasdesurf;Pukas Easy Mood;La Easy Mood de Pukas es la elección perfecta para surfistas que desean equilibrio entre rendimiento y facilidad. Su diseño con contorno curvado, nariz generosa y cola ancha brinda velocidad en condiciones suaves. Con su excelente capacidad de remada, esta tabla te impulsará en cada ola.;720,00;Puskas;https://www.singlequiver.com/40513-large_default/easy-mood.jpg;Short Boards;
tablasdesurf;Al Merrick Bobby Quad;La CI Boby Quad es la nueva tabla de surf de Bobby Martinez. Un quad corto ideal para garantizar la máxima diversión incluso en los días de olas pequeñas y débiles. La nueva CI Bobby Quad te dará un extra de velocidad y agarre en los giros;805,00;Al Merrick;https://www.singlequiver.com/33907-large_default/al-merrick-bobby-quad.jpg;Short Boards;
tablasdesurf;Chilli HKII;Chilli Surfboards presenta la HKII. Actualizando sin problemas su popular modelo y una de nuestra tablas de surf Chilli favoritas la Hot Knife, la HKII se convierte en una shortboard polivalente de transición. Esta tabla es increíblemente fácil de usar y muestra tolerancia en todo tipo de condiciones.;699,00;Chilli;https://www.singlequiver.com/39072-large_default/chilli-hk2.jpg;Short Boards;
tablasdesurf;Pukas Easy Mood;La Easy Mood de Pukas es la elección perfecta para surfistas que desean equilibrio entre rendimiento y facilidad. Su diseño con contorno curvado, nariz generosa y cola ancha brinda velocidad en condiciones suaves. Con su excelente capacidad de remada, esta tabla te impulsará en cada ola.;720,00;Puskas;https://www.singlequiver.com/40513-large_default/easy-mood.jpg;Short Boards;
tablasdesurf;Clayton Swivel;La Swivel es una tabla redondeada ,con un outline diferente que aporta estabilidad y una fácil remada.;490,00;Clayton;https://www.singlequiver.com/23617-large_default/tabla-de-surf-clayton-swivel.jpg;Short Boards;
tablasdesurf;Chilli Surfboards Rare Bird;The Rare Bird by Chilli  es una de las tablas de surf más versátiles de la colección de tablas de surf Chilli. La configuración de 5 quillas le ayuda a adaptarse a la mayoría de las condiciones, desde pequeñas olas hasta tubos huecos. El Rare Bird ha demostrado ser uno de los modelos más populares de la gama Chilli.;699,00;Chilli;https://www.singlequiver.com/36702-large_default/chilli-surfboards-rare-bird.jpg;Short Boards;
tablasdesurf;CI BIG HAPPY;La CI Big Happy es ideal para surfistas mayores o más grandes que no renuncian al rendimiento. Diseñada para combinar facilidad de remada y maniobrabilidad, esta tabla cuenta con un rocker de entrada bajo, espesor generoso en la parte delantera, cantos afinados y un suave concavo único. Ideal para quienes buscan mantener agilidad y diversión en las olas. Descubre sus dimensiones detalladas y encuentra tu ajuste perfecto para surfear mejor y ser feliz en el agua.;815,00;Channel Islands;https://www.singlequiver.com/39557-large_default/ci-big-happy-al-merrik.jpg;Mid Length;
tablasdesurf;Al Merrick CI Mid;La  Al Merrick CI Mid es una tabla súper versátil que va muy bien en las olas verticales y rápidas. Estamos ante un diseño clásico moderno Mid Length resultado de una divertida colaboración con Devon Howard, un surfista del sur de California, que ha pasado las dos últimas décadas surfeando y refinando modelos de tabla de surf inspirados en los egg clásicos.;835,00;Al Merrick;https://www.singlequiver.com/27573-large_default/al-merrick-ci-mid.jpg;Mid Length;
tablasdesurf;MIDGICIAN SHARPEYE;Descubre el Midgician Sharp Eye, el nuevo Midlength de Sharpeye Surfboards diseñado para un rendimiento superior en olas pequeñas y medianas. Ideal para todos los niveles de habilidad, esta tabla ofrece un diseño versátil y estable que combina una entrada y salida planas con contornos inferiores que optimizan la velocidad y la maniobrabilidad. Disponible en construcciones PU y E3-Lite, es la opción perfecta para surfistas que buscan una experiencia similar a la de una tabla corta con las ventajas de una longitud media.;840,00;Midgician;https://www.singlequiver.com/39433-large_default/midgician-sharpeye.jpg;Mid Length;
